# What the Go precompiles said when they read the corpus back.
# R	<id>	<status>	<gas-charged>	<output-hex>	<note>
R	BN256ADD_CDETRIO4	OK	150	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	geth:BN254_ADD
R	BN256ADD_CDETRIO5	OK	150	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	geth:BN254_ADD
R	BN256ADD_CDETRIO6	OK	150	00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000002	geth:BN254_ADD
R	BN256ADD_CDETRIO7	OK	150	00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000002	geth:BN254_ADD
R	BN256ADD_CDETRIO8	OK	150	00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000002	geth:BN254_ADD
R	BN256ADD_CDETRIO9	OK	150	00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000002	geth:BN254_ADD
R	BN256ADD_CDETRIO10	OK	150	00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000002	geth:BN254_ADD
R	BN256PAIRING_JEFF1	OK	113000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_JEFF2	OK	113000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_JEFF3	OK	113000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_JEFF4	OK	147000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_JEFF5	OK	147000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_JEFF6	OK	113000	0000000000000000000000000000000000000000000000000000000000000000	geth:BN254_PAIRING
R	BN256PAIRING_EMPTY_DATA	OK	45000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_ONE_POINT	OK	79000	0000000000000000000000000000000000000000000000000000000000000000	geth:BN254_PAIRING
R	BN256PAIRING_TWO_POINT_MATCH_2	OK	113000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_TWO_POINT_MATCH_3	OK	113000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_TWO_POINT_MATCH_4	OK	113000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256PAIRING_TEN_POINT_MATCH_1	OK	385000	0000000000000000000000000000000000000000000000000000000000000001	geth:BN254_PAIRING
R	BN256SCALARMUL_CHFAST1	OK	6000	070a8d6a982153cae4be29d434e8faef8a47b274a053f5a4ee2a6c9c13c31e5c031b8ce914eba3a9ffb989f9cdd5b0f01943074bf4f0f315690ec3cec6981afc	geth:BN254_MUL
R	BN256SCALARMUL_CHFAST2	OK	6000	025a6f4181d2b4ea8b724290ffb40156eb0adb514c688556eb79cdea0752c2bb2eff3f31dea215f1eb86023a133a996eb6300b44da664d64251d05381bb8a02e	geth:BN254_MUL
R	BN256SCALARMUL_CHFAST3	OK	6000	14789d0d4a730b354403b5fac948113739e276c23e0258d8596ee72f9cd9d3230af18a63153e0ec25ff9f2951dd3fa90ed0197bfef6e2a1a62b5095b9d2b4a27	geth:BN254_MUL
R	BN256SCALARMUL_CDETRIO1	OK	6000	2cde5879ba6f13c0b5aa4ef627f159a3347df9722efce88a9afbb20b763b4c411aa7e43076f6aee272755a7f9b84832e71559ba0d2e0b17d5f9f01755e5b0d11	geth:BN254_MUL
R	BN256SCALARMUL_CDETRIO2	OK	6000	1a87b0584ce92f4593d161480614f2989035225609f08058ccfa3d0f940febe3163511ddc1c3f25d396745388200081287b3fd1472d8339d5fecb2eae0830451	geth:BN254_MUL
R	BN256SCALARMUL_CDETRIO3	OK	6000	1051acb0700ec6d42a88215852d582efbaef31529b6fcbc3277b5c1b300f5cf0135b2394bb45ab04b8bd7611bd2dfe1de6a4e6e2ccea1ea1955f577cd66af85b	geth:BN254_MUL
R	BN256SCALARMUL_CDETRIO4	OK	6000	1dbad7d39dbc56379f78fac1bca147dc8e66de1b9d183c7b167351bfe0aeab742cd757d51289cd8dbd0acf9e673ad67d0f0a89f912af47ed1be53664f5692575	geth:BN254_MUL
R	BN256SCALARMUL_CDETRIO5	OK	6000	1a87b0584ce92f4593d161480614f2989035225609f08058ccfa3d0f940febe31a2f3c951f6dadcc7ee9007dff81504b0fcd6d7cf59996efdc33d92bf7f9f8f6	geth:BN254_MUL
R	BN256SCALARMUL_CDETRIO6	OK	6000	29e587aadd7c06722aabba753017c093f70ba7eb1f1c0104ec0564e7e3e21f6022b1143f6a41008e7755c71c3d00b6b915d386de21783ef590486d8afa8453b1	geth:BN254_MUL
R	BN256SCALARMUL_CDETRIO7	OK	6000	17c139df0efee0f766bc0204762b774362e4ded88953a39ce849a8a7fa163fa92e83f8d734803fc370eba25ed1f6b8768bd6d83887b87165fc2434fe11a830cb	geth:BN254_MUL
